城市,年月,产成品,工业用电量,人均公园绿地面积,绿化覆盖率,生产用水量,人均日生活用水量,月降水量,月平均气温,常住人口,空气质量综合指数
南京,2018年7月,671.15,331.27,16.2,45,46799,237,240.7,28.6,924.39,3.6
南京,2018年8月,671.15,331.27,16.2,45,46799,237,330.8,28,924.39,3.45
南京,2018年9月,671.15,331.27,16.2,45,46799,237,104.1,24.4,924.39,4.21
南京,2018年10月,671.15,331.27,16.2,45,46799,237,27.3,18.9,924.39,4.8
南京,2018年11月,671.15,331.27,16.2,45,46799,237,22.9,12.2,924.39,5.63
南京,2018年12月,671.15,331.27,16.2,45,46799,237,54.3,4.8,924.39,4.8
南京,2019年1月,671.15,327.26,16.2,45,46799,237,27.1,4.8,928.16,6.01
南京,2019年2月,671.15,327.26,16.2,45,46799,237,64.7,6,928.16,4.81
南京,2019年3月,671.15,327.26,16.2,45,46799,237,49.9,12.7,928.16,5.44
南京,2019年4月,671.15,327.26,16.2,45,46799,237,46.1,17.2,928.16,4.67
南京,2019年5月,671.15,327.26,16.2,45,46799,237,57.7,21.5,928.16,4.55
南京,2019年6月,671.15,327.26,16.2,45,46799,237,250.6,25.7,928.16,4.03
南京,2019年7月,671.15,327.26,16.2,45,46799,237,240.7,28.6,928.16,3.65
南京,2019年8月,671.15,327.26,16.2,45,46799,237,330.8,28,928.16,3.24
南京,2019年9月,671.15,327.26,16.2,45,46799,237,104.1,24.4,928.16,3.8
南京,2019年10月,671.15,327.26,16.2,45,46799,237,27.3,18.9,928.16,4.38
南京,2019年11月,671.15,327.26,16.2,45,46799,237,22.9,12.2,928.16,4.75
南京,2019年12月,671.15,327.26,16.2,45,46799,237,54.3,4.8,928.16,5.11
南京,2020年1月,671.15,338.88,16.2,45,46799,237,27.1,4.8,931.97,4.89
南京,2020年2月,671.15,338.88,16.2,45,46799,237,64.7,6,931.97,3.19
南京,2020年3月,671.15,338.88,16.2,45,46799,237,49.9,12.7,931.97,3.82
南京,2020年4月,671.15,338.88,16.2,45,46799,237,46.1,17.2,931.97,4.36
南京,2020年5月,671.15,338.88,16.2,45,46799,237,57.7,21.5,931.97,4.25
南京,2020年6月,671.15,338.88,16.2,45,46799,237,250.6,25.7,931.97,3.14
南京,2020年7月,671.15,338.88,16.2,45,46799,237,240.7,28.6,931.97,3.13
南京,2020年8月,671.15,338.88,16.2,45,46799,237,330.8,28,931.97,2.98
南京,2020年9月,671.15,338.88,16.2,45,46799,237,104.1,24.4,931.97,3.6
南京,2020年10月,671.15,338.88,16.2,45,46799,237,27.3,18.9,931.97,3.58
南京,2020年11月,671.15,338.88,16.2,45,46799,237,22.9,12.2,931.97,3.81
南京,2020年12月,671.15,338.88,16.2,45,46799,237,54.3,4.8,931.97,5.32
南京,2021年1月,671.15,350.33,16.2,45,46799,237,27.1,4.8,942.34,4.78
南京,2021年2月,671.15,350.33,16.2,45,46799,237,64.7,6,942.34,3.44
南京,2021年3月,671.15,350.33,16.2,45,46799,237,49.9,12.7,942.34,4.07
南京,2021年4月,671.15,350.33,16.2,45,46799,237,46.1,17.2,942.34,3.7
南京,2021年5月,671.15,350.33,16.2,45,46799,237,57.7,21.5,942.34,3.63
南京,2021年6月,671.15,350.33,16.2,45,46799,237,250.6,25.7,942.34,3.46
南京,2021年7月,671.15,350.33,16.2,45,46799,237,240.7,28.6,942.34,2.5
南京,2021年8月,671.15,350.33,16.2,45,46799,237,330.8,28,942.34,2.96
南京,2021年9月,671.15,350.33,16.2,45,46799,237,104.1,24.4,942.34,3.16
南京,2021年10月,671.15,350.33,16.2,45,46799,237,27.3,18.9,942.34,3.56
南京,2021年11月,671.15,350.33,16.2,45,46799,237,22.9,12.2,942.34,4.01
南京,2021年12月,671.15,350.33,16.2,45,46799,237,54.3,4.8,942.34,4.74
南京,2022年1月,671.15,355.25,16.2,45,46799,237,27.1,4.8,949.11,4.78
南京,2022年2月,671.15,355.25,16.2,45,46799,237,64.7,6,949.11,3.7
南京,2022年3月,671.15,355.25,16.2,45,46799,237,49.9,12.7,949.11,3.82
南京,2022年4月,671.15,355.25,16.2,45,46799,237,46.1,17.2,949.11,3.51
南京,2022年5月,671.15,355.25,16.2,45,46799,237,57.7,21.5,949.11,3.58
南京,2022年6月,671.15,355.25,16.2,45,46799,237,250.6,25.7,949.11,2.83
南京,2022年7月,671.15,355.25,16.2,45,46799,237,240.7,28.6,949.11,2.47
南京,2022年8月,671.15,355.25,16.2,45,46799,237,330.8,28,949.11,2.68
南京,2022年9月,671.15,355.25,16.2,45,46799,237,104.1,24.4,949.11,2.93
南京,2022年10月,671.15,355.25,16.2,45,46799,237,27.3,18.9,949.11,2.81
南京,2022年11月,671.15,355.25,16.2,45,46799,237,22.9,12.2,949.11,3.5
南京,2022年12月,671.15,355.25,16.2,45,46799,237,54.3,4.8,949.11,4.32
南京,2023年1月,671.15,365.83,16.2,45,46799,237,27.1,4.8,954.7,
南京,2023年2月,671.15,365.83,16.2,45,46799,237,64.7,6,954.7,
南京,2023年3月,671.15,365.83,16.2,45,46799,237,49.9,12.7,954.7,
南京,2023年4月,671.15,365.83,16.2,45,46799,237,46.1,17.2,954.7,
南京,2023年5月,671.15,365.83,16.2,45,46799,237,57.7,21.5,954.7,
南京,2023年6月,671.15,365.83,16.2,45,46799,237,250.6,25.7,954.7,
南京,2023年7月,671.15,365.83,16.2,45,46799,237,240.7,28.6,954.7,
南京,2023年8月,671.15,365.83,16.2,45,46799,237,330.8,28,954.7,
南京,2023年9月,671.15,365.83,16.2,45,46799,237,104.1,24.4,954.7,
南京,2023年10月,671.15,365.83,16.2,45,46799,237,27.3,18.9,954.7,
南京,2023年11月,671.15,365.83,16.2,45,46799,237,22.9,12.2,954.7,
南京,2023年12月,671.15,365.83,16.2,45,46799,237,54.3,4.8,954.7,
南通,2018年7月,785.89,295.86,19.7,44.5,14317,194.4,397.1,28.8,769.48,3.5
南通,2018年8月,785.89,295.86,19.7,44.5,14317,194.4,91.5,28.3,769.48,2.81
南通,2018年9月,785.89,295.86,19.7,44.5,14317,194.4,145.1,24.8,769.48,3.65
南通,2018年10月,785.89,295.86,19.7,44.5,14317,194.4,35,19.2,769.48,4.41
南通,2018年11月,785.89,295.86,19.7,44.5,14317,194.4,22.9,12.9,769.48,5.13
南通,2018年12月,785.89,295.86,19.7,44.5,14317,194.4,29.1,5.3,769.48,4.51
南通,2019年1月,785.89,307.45,19.7,44.5,14317,194.4,28.4,4.6,772.44,4.56
南通,2019年2月,785.89,307.45,19.7,44.5,14317,194.4,64.7,5.6,772.44,4
南通,2019年3月,785.89,307.45,19.7,44.5,14317,194.4,47,11.8,772.44,4.89
南通,2019年4月,785.89,307.45,19.7,44.5,14317,194.4,41,16.3,772.44,4.02
南通,2019年5月,785.89,307.45,19.7,44.5,14317,194.4,80,21.1,772.44,4.65
南通,2019年6月,785.89,307.45,19.7,44.5,14317,194.4,257.1,24.8,772.44,3.47
南通,2019年7月,785.89,307.45,19.7,44.5,14317,194.4,397.1,28.8,772.44,3.51
南通,2019年8月,785.89,307.45,19.7,44.5,14317,194.4,91.5,28.3,772.44,3.08
南通,2019年9月,785.89,307.45,19.7,44.5,14317,194.4,145.1,24.8,772.44,2.73
南通,2019年10月,785.89,307.45,19.7,44.5,14317,194.4,35,19.2,772.44,3.63
南通,2019年11月,785.89,307.45,19.7,44.5,14317,194.4,22.9,12.9,772.44,3.9
南通,2019年12月,785.89,307.45,19.7,44.5,14317,194.4,29.1,5.3,772.44,4.53
南通,2020年1月,785.89,323.52,19.7,44.5,14317,194.4,28.4,4.6,772.8,4.25
南通,2020年2月,785.89,323.52,19.7,44.5,14317,194.4,64.7,5.6,772.8,2.95
南通,2020年3月,785.89,323.52,19.7,44.5,14317,194.4,47,11.8,772.8,3.34
南通,2020年4月,785.89,323.52,19.7,44.5,14317,194.4,41,16.3,772.8,4.18
南通,2020年5月,785.89,323.52,19.7,44.5,14317,194.4,80,21.1,772.8,4.03
南通,2020年6月,785.89,323.52,19.7,44.5,14317,194.4,257.1,24.8,772.8,3.29
南通,2020年7月,785.89,323.52,19.7,44.5,14317,194.4,397.1,28.8,772.8,2.93
南通,2020年8月,785.89,323.52,19.7,44.5,14317,194.4,91.5,28.3,772.8,3.11
南通,2020年9月,785.89,323.52,19.7,44.5,14317,194.4,145.1,24.8,772.8,3.76
南通,2020年10月,785.89,323.52,19.7,44.5,14317,194.4,35,19.2,772.8,2.9
南通,2020年11月,785.89,323.52,19.7,44.5,14317,194.4,22.9,12.9,772.8,3.42
南通,2020年12月,785.89,323.52,19.7,44.5,14317,194.4,29.1,5.3,772.8,4.35
南通,2021年1月,785.89,362.5,19.7,44.5,14317,194.4,28.4,4.6,773.3,4.17
南通,2021年2月,785.89,362.5,19.7,44.5,14317,194.4,64.7,5.6,773.3,3.46
南通,2021年3月,785.89,362.5,19.7,44.5,14317,194.4,47,11.8,773.3,3.66
南通,2021年4月,785.89,362.5,19.7,44.5,14317,194.4,41,16.3,773.3,3.36
南通,2021年5月,785.89,362.5,19.7,44.5,14317,194.4,80,21.1,773.3,3.68
南通,2021年6月,785.89,362.5,19.7,44.5,14317,194.4,257.1,24.8,773.3,3.18
南通,2021年7月,785.89,362.5,19.7,44.5,14317,194.4,397.1,28.8,773.3,2.79
南通,2021年8月,785.89,362.5,19.7,44.5,14317,194.4,91.5,28.3,773.3,2.61
南通,2021年9月,785.89,362.5,19.7,44.5,14317,194.4,145.1,24.8,773.3,2.75
南通,2021年10月,785.89,362.5,19.7,44.5,14317,194.4,35,19.2,773.3,2.65
南通,2021年11月,785.89,362.5,19.7,44.5,14317,194.4,22.9,12.9,773.3,3.94
南通,2021年12月,785.89,362.5,19.7,44.5,14317,194.4,29.1,5.3,773.3,4.34
南通,2022年1月,785.89,388.12,19.7,44.5,14317,194.4,28.4,4.6,774.35,3.84
南通,2022年2月,785.89,388.12,19.7,44.5,14317,194.4,64.7,5.6,774.35,3.06
南通,2022年3月,785.89,388.12,19.7,44.5,14317,194.4,47,11.8,774.35,3.73
南通,2022年4月,785.89,388.12,19.7,44.5,14317,194.4,41,16.3,774.35,3.63
南通,2022年5月,785.89,388.12,19.7,44.5,14317,194.4,80,21.1,774.35,3.23
南通,2022年6月,785.89,388.12,19.7,44.5,14317,194.4,257.1,24.8,774.35,3.14
南通,2022年7月,785.89,388.12,19.7,44.5,14317,194.4,397.1,28.8,774.35,2.97
南通,2022年8月,785.89,388.12,19.7,44.5,14317,194.4,91.5,28.3,774.35,3.24
南通,2022年9月,785.89,388.12,19.7,44.5,14317,194.4,145.1,24.8,774.35,2.45
南通,2022年10月,785.89,388.12,19.7,44.5,14317,194.4,35,19.2,774.35,2.46
南通,2022年11月,785.89,388.12,19.7,44.5,14317,194.4,22.9,12.9,774.35,2.79
南通,2022年12月,785.89,388.12,19.7,44.5,14317,194.4,29.1,5.3,774.35,3.63
