城市,变量,标准化系数
南京,空气质量综合指数,0.16456496607037738
南京,产成品,-1.0547118733938987e-15
南京,工业用电量,-0.043534014911586635
南京,常住人口,-0.3497262999625412
南京,月降水量,-0.3353891406052487
南京,绿化覆盖率,0.0
南通,空气质量综合指数,0.15582857426681568
南通,产成品,5.551115123125783e-17
南通,工业用电量,-0.1322524533205709
南通,常住人口,-0.1496812799357955
南通,月降水量,-0.2658673972809503
南通,绿化覆盖率,0.0
宿迁,空气质量综合指数,0.4626620424102338
宿迁,产成品,-5.551115123125783e-17
宿迁,工业用电量,-0.2643464333768105
宿迁,常住人口,-0.02573016313865314
宿迁,月降水量,-0.2548496728217049
宿迁,绿化覆盖率,0.0
常州,空气质量综合指数,0.2786427305539828
常州,产成品,-5.551115123125783e-17
常州,工业用电量,-0.17629269761958052
常州,常住人口,-0.04745834264215708
常州,月降水量,-0.3498327893955247
常州,绿化覆盖率,0.0
徐州,空气质量综合指数,0.76971306732022
徐州,产成品,-8.049116928532385e-16
徐州,工业用电量,-0.3248745903303329
徐州,常住人口,-0.17230781722060307
徐州,月降水量,-0.14222431035819608
徐州,绿化覆盖率,0.0
扬州,空气质量综合指数,0.22918876400223492
扬州,产成品,1.1102230246251565e-16
扬州,工业用电量,0.027810431372440818
扬州,常住人口,-0.3202781276315832
扬州,月降水量,-0.3380927604319006
扬州,绿化覆盖率,0.0
无锡,空气质量综合指数,0.07405565842215302
无锡,产成品,-5.551115123125783e-16
无锡,工业用电量,0.0012814080594659345
无锡,常住人口,-0.39789323740052646
无锡,月降水量,-0.3749175855406289
无锡,绿化覆盖率,0.0
泰州,空气质量综合指数,0.24522238464243323
泰州,产成品,0.0
泰州,工业用电量,-0.21004948939761467
泰州,常住人口,0.0371205747373497
泰州,月降水量,-0.34617730031311034
泰州,绿化覆盖率,0.0
淮安,空气质量综合指数,0.28224734522115635
淮安,产成品,5.551115123125783e-17
淮安,工业用电量,-0.14427161996472881
淮安,常住人口,0.12775671306874023
淮安,月降水量,-0.3702743402302053
淮安,绿化覆盖率,0.0
盐城,空气质量综合指数,0.3140573982424398
盐城,产成品,1.1102230246251565e-16
盐城,工业用电量,-0.282032736244453
盐城,常住人口,-0.1018911427304534
盐城,月降水量,-0.34911422335333936
盐城,绿化覆盖率,0.0
苏州,空气质量综合指数,0.12627352493529276
苏州,产成品,-5.551115123125783e-17
苏州,工业用电量,0.10705301787573977
苏州,常住人口,-0.38625173535481266
苏州,月降水量,-0.327572798554535
苏州,绿化覆盖率,0.0
连云港,空气质量综合指数,0.396273441259113
连云港,产成品,5.551115123125783e-17
连云港,工业用电量,-0.12501024534727884
连云港,常住人口,-0.22406747425493778
连云港,月降水量,-0.2766714319967612
连云港,绿化覆盖率,0.0
镇江,空气质量综合指数,0.15788671652709996
镇江,产成品,3.3306690738754696e-16
镇江,工业用电量,0.2899831511874312
镇江,常住人口,-0.5434200340805613
镇江,月降水量,-0.34623989128309296
镇江,绿化覆盖率,0.0
