城市,Prophet_MSE,SARIMA_MSE,更优模型
南京,0.3509575944040139,0.27703918764018004,SARIMA
南通,0.3312599910519159,0.32137792220140443,SARIMA
宿迁,0.4633691333694019,0.4866926937632619,Prophet
常州,0.365076360748138,0.6540939353261126,Prophet
徐州,0.5077861664490467,0.4591120950379297,SARIMA
扬州,0.4711794226600398,0.660709911764651,Prophet
无锡,0.42090687605695215,0.39723768025976186,SARIMA
泰州,0.36458850818648153,0.5364782105194743,Prophet
淮安,0.23282475438281133,0.38698564752971015,Prophet
盐城,0.30112157492420116,0.26765385840093914,SARIMA
苏州,0.5860320710020986,0.659034024389257,Prophet
连云港,0.34357796580365657,0.7236622561287215,Prophet
镇江,0.15764334080378437,0.5143713692601196,Prophet
