日期,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,原日期
2018-07-01,3.6,3.42,3.58,3.07,3.3,3.5,2.84,3.26,2.81,4.15,3.76,3.45,3.13,2018.07
2018-08-01,3.45,3.37,4.1,3.14,3.12,2.81,2.75,3.16,2.62,3.41,3.46,2.88,3.2,2018.08
2018-09-01,4.21,4.28,4.74,3.54,4.09,3.65,3.64,4.01,3.44,3.87,3.94,3.68,3.78,2018.09
2018-10-01,4.8,4.7,6.5,4.57,4.54,4.41,4.54,4.38,4.39,4.7,4.62,4.28,5.28,2018.10
2018-11-01,5.63,5.51,7.03,4.42,5.31,5.13,4.94,4.18,4.98,5.64,5.7,5.21,5.18,2018.11
2018-12-01,4.8,5.0,6.74,5.28,4.68,4.51,5.15,4.3,4.8,5.0,4.8,4.69,5.12,2018.12
2019-01-01,6.01,5.5,7.5,5.92,5.21,4.56,6.58,6.08,5.3,5.87,5.78,5.38,6.53,2019.01
2019-02-01,4.81,4.53,7.05,4.85,4.25,4.0,5.78,5.24,4.78,4.66,4.66,4.53,6.09,2019.02
2019-03-01,5.44,5.12,5.85,5.75,5.11,4.89,4.78,4.75,4.82,5.52,5.41,5.21,4.87,2019.03
2019-04-01,4.67,4.74,4.9,5.13,4.56,4.02,4.03,3.92,3.95,4.53,4.62,4.41,3.94,2019.04
2019-05-01,4.55,4.64,4.64,4.81,4.24,4.65,3.97,4.34,3.93,4.73,4.81,4.75,4.1,2019.05
2019-06-01,4.03,4.02,4.37,4.2,3.64,3.47,3.46,3.7,3.21,4.25,4.3,4.3,3.94,2019.06
2019-07-01,3.65,3.66,3.66,3.87,3.26,3.51,3.37,3.09,2.94,3.94,3.72,3.61,3.28,2019.07
2019-08-01,3.24,3.52,3.46,3.52,3.26,3.08,3.11,2.68,2.4,3.09,3.24,2.9,2.96,2019.08
2019-09-01,3.8,3.81,4.7,3.568136071145851,3.75,2.73,3.35,3.35,2.8,3.19,3.42,2.96,3.72,2019.09
2019-10-01,4.38,4.54,5.26,4.7,4.19,3.63,4.43,4.57,3.77,4.11,4.18,3.79,4.72,2019.10
2019-11-01,4.75,4.51,5.97,5.04,4.16,3.9,4.16,4.68,3.95,4.61,4.61,4.04,4.9,2019.11
2019-12-01,5.11,5.14,6.13,5.63,5.03,4.53,4.77,5.09,4.63,4.82,5.02,4.94,5.39,2019.12
2020-01-01,4.89,4.87,7.12,5.52,4.7,4.25,5.33,5.2,4.37,5.0,4.84,4.75,5.88,2020.01
2020-02-01,3.19,3.13,4.18,3.57,2.89,2.95,3.46,3.45,3.12,3.11,3.34,3.33,3.67,2020.02
2020-03-01,3.82,3.68,4.76,4.22,3.43,3.34,3.58,3.77,3.37,3.73,3.77,3.71,4.02,2020.03
2020-04-01,4.36,4.33,4.58,4.79,4.35,4.18,4.19,4.24,4.03,4.47,4.37,4.26,4.17,2020.04
2020-05-01,4.25,4.32,4.24,4.67,4.05,4.03,3.45,3.84,3.45,4.34,4.19,4.19,3.79,2020.05
2020-06-01,3.14,3.22,3.96,3.47,3.1,3.29,3.44,3.26,2.95,3.63,3.45,3.11,3.42,2020.06
2020-07-01,3.13,3.43,3.33,3.44,3.21,2.93,2.66,2.57,2.19,3.8193982535688065,3.13,2.71,2.83,2020.07
2020-08-01,2.98,3.23,3.24,3.38,2.98,3.11,2.88,2.76,2.72,3.19,3.21,3.12,2.92,2020.08
2020-09-01,3.6,4.05,4.43,4.2,3.84,3.76,3.67,3.61,3.27,3.84,3.74,3.47,3.74,2020.09
2020-10-01,3.58,3.55,5.17,4.12,3.24,2.9,3.88,3.81,3.02,3.75,3.4,3.22,4.25,2020.10
2020-11-01,3.81,4.01,5.37,4.56,3.72,3.42,4.21,4.13,3.52,3.88,3.85,3.56,4.4,2020.11
2020-12-01,5.32,5.41,6.91,5.8,4.94,4.35,5.66,5.96,4.85,5.66,3.7458944649552532,5.11,6.15,2020.12
2021-01-01,4.78,4.87,6.48,5.36,4.54,4.17,5.55,6.101890184341656,4.4,5.06,4.96,4.81,5.6,2021.01
2021-02-01,3.44,3.33,4.23,3.87,3.27,3.46,3.6,3.6,3.02,3.63,3.53,3.54,3.66,2021.02
2021-03-01,4.07,4.28,4.53,4.99,4.13,3.66,4.34,4.26,3.42,4.32,4.33,3.75,4.19,2021.03
2021-04-01,3.7,3.95,4.06,4.45,3.69,3.36,3.23,3.45,2.83,3.76,3.76,3.35,3.55,2021.04
2021-05-01,3.63,3.85,3.68,4.12,3.66,3.68,3.25,3.58,2.96,4.01,3.73,3.67,3.4,2021.05
2021-06-01,3.46,3.56,4.08,3.9,3.18,3.18,3.41,3.49,2.97,4.0,3.81,3.39,3.54,2021.06
2021-07-01,2.5,2.57,2.41,2.84,2.58,2.79,2.03,2.08,2.18,2.78,2.8,2.43,2.12,2021.07
2021-08-01,2.96,3.24,3.12,3.54,2.82,2.61,2.52,2.49,2.15,2.85,3.15,2.65,2.62,2021.08
2021-09-01,3.16,3.29,3.35,3.62,2.97,2.75,2.6,2.64,2.33,3.31,3.46,3.0,2.83,2021.09
2021-10-01,3.56,3.27,4.73,3.93,3.06,2.65,3.66,3.67,3.28,3.62,3.7,3.12,3.88,2021.10
2021-11-01,4.01,3.93,5.61,4.64,3.92,3.94,4.69,4.46,4.16,4.45,4.5,4.1,4.84,2021.11
2021-12-01,4.74,4.8,5.79,5.5,4.85,4.34,5.0,4.97,4.5,5.16,5.06,4.7,5.28,2021.12
2022-01-01,4.78,4.41,6.23,5.11,4.4,3.84,4.68,5.13,4.08,4.94,4.84,4.53,5.73,2022.01
2022-02-01,3.7,3.51,4.62,3.89,3.3,3.06,3.72,3.98,3.3,3.93,3.97,3.59,4.24,2022.02
2022-03-01,3.82,4.0,4.3,4.12,3.7,3.73,3.4,4.18,3.51,4.11,4.5,4.12,3.93,2022.03
2022-04-01,3.51,3.66,3.69,3.95,3.43,3.63,3.61,4.0,3.51,3.88,4.03,4.02,3.55,2022.04
2022-05-01,3.58,3.38,3.63,3.86,3.11,3.23,3.29,3.77,3.18,3.8,4.04,3.58,3.45,2022.05
2022-06-01,2.83,3.03,3.73,3.26,3.02,3.14,3.06,3.36,2.96,3.42,3.47,3.23,3.34,2022.06
2022-07-01,2.47,2.81,2.92,2.85,2.65,2.97,2.45,2.48,2.22,2.85,3.05,2.77,2.52,2022.07
2022-08-01,2.68,3.09,2.97,3.02,2.95,3.24,2.47,2.58,2.64,3.06,3.15,3.02,2.61,2022.08
2022-09-01,2.93,3.04,3.84,3.23,2.95,2.45,2.62,2.82,2.33,2.81,2.94,2.66,3.13,2022.09
2022-10-01,2.81,3.04,4.03,3.22,2.79,2.46,2.83,3.05,2.5,2.92,3.03,2.78,3.38,2022.10
2022-11-01,3.5,3.44,4.63,3.9,3.27,2.79,3.3,3.62,2.77,3.48,3.8,3.37,3.65,2022.11
2022-12-01,4.32,4.27,5.67,4.57,4.08,3.63,5.02,4.85,4.06,4.37,4.55,4.39,5.13,2022.12
